,ID_ALUNO,ID_MATRICULA,NU_IDADE_REFERENCIA,TP_SEXO,TP_COR_RACA,TP_ZONA_RESIDENCIAL,ID_TURMA,CO_ENTIDADE
1643,9304D321D376DE2FA352D3498D78CECB,290962953,4,2,3,1,12403833,31217751
1644,DB0DB13E95EB4830E4804C63BA187AC1,291244507,8,2,2,1,12012323,31202878
1645,10A78266F61C89402B7128093B8F8AB8,187760963,5,2,0,1,12456103,31203076
1646,627C65A10F54397E9E037A81B134A482,230582220,7,2,1,1,8825527,31205265
1647,15AD1AD710601CB17264DFC9CB60E8D7,278067516,2,2,1,1,11994029,31347922
1649,3F58570917FEF524016D3FC912E115D3,326184928,4,2,0,1,14219389,31203092
1650,BD14EDF25741B1780A4ADFE141197AC2,295004636,25,1,0,1,12850458,31203009
1651,97D31F329E3372898B88683A2DE90820,295004639,16,1,1,1,12850453,31203009
1652,760239EEAF1535630594E46FEC39C6A6,295004669,16,1,1,1,12850454,31203009
1653,5CC12E180062EBD492652EC79F1BEEEA,295154954,15,2,1,1,12857796,31202908
1654,0B9B8B7A6037BC3AB6A30C14E94D1AD2,295155161,9,1,0,1,12857790,31202908
1655,7E11192B544C7E43A679D7D39C65C634,236389675,12,2,1,1,87489,31205265
1656,6C30A8DD02E3139A0D8306B062976036,293273514,5,1,3,1,12404641,31217751
1658,DF6FE4EB8BB0BCA3282F5BB8ED11E5F0,295155288,27,1,2,1,12857803,31202908
1659,AD3075917151678BF19D043D224A331B,165551678,7,1,1,1,12134360,31316245
1660,582C67F7A24FADD579E3F4B88DA60CFC,66110874,11,2,1,1,1741035,31205231
1661,5752B3DDC2F4FCC7CAD52CC048ADFC9A,295508740,10,2,3,1,12242300,31261009
1662,BB6AF0B688C066D10232497E0D91273D,295520751,10,1,1,1,12242300,31261009
1663,1B45BB9CB43DFB7B3AD48817506EB5DE,300727591,4,1,1,1,6204814,31205265
1664,B64B2D76B2B3DE70AE18F2974855FF33,236365437,5,1,3,1,12457331,31203076
1665,71B1402C769988D4130A89D8EAC1319E,293519775,5,2,1,1,12404662,31217751
1666,15AF7A0095213E7E5352EEE0DC7825BE,252712532,3,1,1,1,12659783,31369047
1667,77D24493A760A6E65DAD0160AFB6D40E,277807039,4,2,0,2,11879899,31251933
1668,9F7909C04FC953E992796F0F731AF95A,320860487,14,1,1,1,13193550,31292451
1669,1E744512453CE55B9AA693F014CB35D5,295128159,14,1,3,1,12858032,31217743
1670,3DD80CA27FC322F65F36822EE123601F,295006015,15,2,3,1,12851462,31203106
1671,41A34E2969F01DCBCC3876FF82A3B8F1,295006049,16,1,1,1,12851472,31203106
1673,A312A6E804906F2D535A7F71D0DE6B4B,225925870,6,1,3,1,88004,31205265
1674,B53431D57C1AD8E9F7C8DEE7C1640179,239466223,18,1,0,1,12665818,31202983
1675,4EA50354007703B59F21AC6B42256D34,303458703,13,1,1,1,13212015,31202967
1677,5EEF6DD57BF14A532988072E0C877900,277905354,10,1,1,1,8842545,31203017
1678,2B82CBB6D6F8AA49CF1E09B0BEB2426E,165506114,5,2,3,1,11956946,31326054
1679,A891060DEE3D7C247EFEEF635A11417A,288042219,12,2,1,1,12542783,31310573
1680,4D7D5EF5C776F2804585F056386F6806,288976164,3,2,1,1,12294661,31261009
1681,516D1B08CD8453B725E19F2FE8660B59,165010039,3,2,3,1,9405188,31288110
1682,D93B54D35CEB4928943615E7C7198DBA,295003506,15,2,1,1,12850447,31203009
1683,0356EF96EFD22CAF9E25783CF4148DE1,224231538,6,2,1,1,12009488,31202878
1684,7317A19613266F1417D253242C6AFE65,224212456,6,1,2,1,12009488,31202878
1685,505F54912D30705B9ECD27E7FFA281C2,278218703,9,2,0,1,12012384,31202878
1686,5A45782158A7FB1E34A0272638FDA313,326684464,9,1,3,1,14245049,31245674
1687,4F7E4FCA90C172427FEEBE2394517BF2,326728567,9,1,3,1,14247599,31245674
1688,80EBE6E0FD04FC72B5C453F8E3A1674B,280686388,1,2,1,1,12138594,31288128
1689,4FEE69A56360FCEFBF01045FC16E940E,247037199,16,1,1,1,6689202,31354848
1690,00B6839534FAD8D72EABC580C2580ADD,295005985,15,2,1,1,12851469,31203106
1691,B94CBDAD07EB983D1F3705E58BE35A2A,294222461,3,2,1,1,9405188,31288110
1692,10FEC4683138AB97244446F9E581FD51,294993991,15,1,3,2,12851358,31202975
1693,A8407A1278035186C3CDABC6F30749E2,295003446,37,1,0,1,12850460,31203009
1694,54DC7E6BECD9E9C7445207920F86CE64,236377690,12,1,0,1,5962985,31205265
1695,CD13F781133F0AB1C1FD3FBCB1F4CF3B,236390080,12,1,1,1,5962985,31205265
1696,7224D56499396BCBD9D3B7AE7A71BFE1,280978425,5,1,1,1,12131782,31316245
1697,A8270F72817924923A68D63C8EF5C7F6,35388111,11,2,3,1,12405535,31217751
1698,675956F692925A81C3F863EA0F7F1CC3,285941456,12,1,1,1,12097513,31203092
1699,A3A69345F9C823757F21FEAB966E0EAF,295006119,16,1,1,1,12851468,31203106
1700,5638EA6296D3FB9C802DDCE7A28D9014,295006777,14,2,1,1,12851462,31203106
1701,04D6D8D01975B210ED50B1C9AFC55336,295006854,17,1,1,1,12851477,31203106
1702,FBF55E8465C00B213456C16F2BA4F1CF,295127573,13,1,3,1,12858029,31217743
1703,0981C82CA54D2CC13E39125D74B5504C,295127596,12,1,0,1,12858025,31217743
1704,95B8A265E4927CB027C41B980EEE4647,295002941,17,1,0,1,12850455,31203009
1705,A78E246EFBD9797651F7C5B29438B2E7,295006965,8,1,0,1,12851446,31203106
1706,D87A74FCE0330395E96ED180F4D95C77,295155124,10,1,0,1,12857791,31202908
1707,A74CED2329D3FDC0EBD3678D4070BCB5,295000814,17,2,0,1,12851365,31202975
1708,1AA3709593E8E9524A958FC431417E61,295006160,14,2,1,1,12851462,31203106
1709,B9F90EA83E2A95D85E979B717AFE8624,294993197,17,1,1,1,12851158,31202894
1710,BF5DDAB97F549441D61AAF24E60BF997,295001063,17,2,3,2,12851358,31202975
1711,F899231A48FEA423C297C3678FD774BE,228621404,12,1,1,1,12011034,31202878
1712,7872672CD426D985B6F66008F0FF1A5D,279213102,5,1,2,1,11881180,31251933
1713,F08ABB1C83C2AF327F8EADA0160DC40F,227669247,12,2,3,1,12009984,31202878
1714,0D7DF2E963A0356DE8D9FD6A7FA4ED3D,232452901,13,1,2,1,12012240,31202878
1715,E31CC448B0457997DC3FCDB01256D8FB,312497906,15,1,2,1,13194408,31292451
1716,8CE4C588159C38F63EDCB179BDE5B39A,239088169,15,1,1,1,12745268,31205265
1717,9AF7B35AF46AFFE38603578A58B25AA5,291698643,7,2,2,1,12240970,31261009
1719,A1D26492F3CFB37C4F94C3A548DF1FE8,278217169,10,1,2,1,8844328,31203017
1720,E0E7747DF356FB23317B1255581B99F7,221270657,5,2,2,1,14218519,31203092
1721,EDB7024B68F2B96EF9F05F4560FF5A9C,306827791,10,2,1,1,87493,31205265
1722,82919C5892B86F6E9ED1AAB84820F224,295767967,5,2,1,1,12885507,31261009
1723,1216E7C661A35B9D8B4AFF8796E6E453,295003924,15,1,1,1,12850445,31203009
1724,B9BE05F3282C17A5D81BA56EB7E72695,220393853,4,1,1,1,12062092,31202983
1725,76375F806A9136A29E41BABBDA1F894B,307533224,11,1,0,1,87491,31205265
1726,C98E8574AE1055275A09F29C2CC03540,295004470,13,2,3,1,12850443,31203009
1727,85F379324B556E344B95CB325FBABBDF,295004513,13,2,1,1,12850443,31203009
1728,3DEC55800522C1AB5AC29D3291A2449A,220687338,3,1,1,1,5969234,31205265
1729,B72BADA30FAD9FB4DE36D170C0AE2A66,295155323,6,1,0,1,12857787,31202908
1731,BA025256BCAC2D98819ED67162920DE3,296745568,43,2,1,1,12918165,31202983
1732,4C2BF0006323FE4F302C97CE623B3E0C,280945666,10,1,3,1,9062934,31244279
1733,4B102629CFE1706571EDF2344DE9758D,280965812,12,1,2,1,9062934,31244279
1734,8F50FC1BE70CC0419D6D216C9976AF15,221815554,6,1,3,1,12045953,31203092
1735,3C446728FA4429C7F0C14B1370E92513,309185272,2,2,0,1,12341553,31362476
1736,F663470C72C25963EA56C47C851CCB4A,308992630,2,1,0,1,12341537,31362476
1737,B17D5AD7682B53E3FF50512F33402B17,111093285,6,2,1,1,1739905,31205231
1738,E8EA89C2DE3A199F51F9FC63F951C7EA,227535590,9,2,3,1,9284730,31203068
1739,649D1244836B11965A0C85D09978660F,295003074,16,1,2,2,12850454,31203009
1740,F7825395E0A64BA891E18212EB258E70,295003097,16,2,1,1,12850445,31203009
1741,DA0321A0C7AE1C8B943BB3961EB0013C,295006992,8,1,0,1,12851447,31203106
1742,760B88EEC48A39C7059AA03E79FBB471,295127879,19,2,2,1,12858041,31217743
1743,737A3D9F426B9516AB838BB25C79AE7A,295006456,11,2,1,1,12851454,31203106
1744,364ECB5CE375F90A9ED74D9B0E8F1E0F,295006532,11,2,3,1,12851455,31203106
1745,4EC2EEC9A08E39630DB60850EA309AAF,295002723,17,1,2,1,12850449,31203009
1746,A37DBF666DBB8EC11CFCAFDEA91926DC,300342310,3,1,1,1,5969234,31205265
1747,1536CBA52C9156EF537687391B04F4CF,237711306,4,2,1,1,12456175,31203076
1748,20F2A0DA74BE6AF58D3A11124D082E98,167020266,7,1,3,1,143979,31203122
1749,9302ADE87CF43C78795CC15DB287C9E0,295002989,15,1,3,1,12851408,31203009
1750,5C26DFA2DEAF1CFF415C22F6401E1D7D,295006916,13,2,3,1,12851465,31203106
1751,9EE7E47D4099D80FA468C8223EA9FD7B,295006969,8,2,3,1,12851446,31203106
1752,E17FD827EBBD18088C9AF4AD44AF2E81,295127754,12,2,1,2,12858026,31217743
1753,A0ADF0FE112DD57840A9573FE701C01A,294994265,17,2,3,1,12851173,31202894
1754,70FD1076273A71B33EA5991FD8567BE3,294994311,10,1,3,1,12851167,31202894
1756,DF54C8A4908781687275900CA7121608,295006414,17,1,1,1,12851485,31203106
1757,AB1228F6B9BCB6BBC810B4CE314DB955,295127311,16,2,3,1,12858035,31217743
1758,59F7B1C43DFA335A0AEA96468E469BE3,294993866,17,1,2,1,12851355,31202975
1759,28A9F791E6DF12EA336A3EBFE2A2FE9B,286629290,7,1,1,1,12406230,31217751
1762,4E415B6D080C75BEA96CFDF86628D493,290282781,3,1,0,1,12060875,31328294
1763,DB1383A8B5FFAFAF493ECC0B0622C4CC,221498460,11,1,3,1,8844328,31203017
1764,AABA3F9AC019E91A6814665DF19A5AE9,164577341,13,1,1,1,8843880,31203017
1765,5B3B6DD9891ED4AD2A8B78E70DE69047,18002652,10,2,0,1,12186397,31202983
1766,6652D638AC96ADB18FD14BFEAB44A939,53434644,8,2,3,1,12135314,31316245
1767,1CF91B7B4D6C12FDEEA8436BE3103001,282208238,13,2,1,1,11899243,31251933
1768,380E0F4CF230C247A16250A07D0059C6,241367859,15,1,1,1,87481,31205265
1770,38F3F782BAF57B9B18DB70CA361924EC,241340252,15,2,1,1,87480,31205265
1771,80551C5F6C358AB248A6ACF973DECC5F,50114004,9,2,3,1,12144950,31316245
1772,4F165474C2823A4D8B5CF2723DA74E06,281207379,8,1,4,1,11881475,31251933
1773,806006F07AC500CE2FCA242556A60EB3,221780222,3,1,0,1,12060851,31328294
1774,B464331030E1A261F2F12E1E090DEE26,282194631,9,2,3,1,12186654,31202983
1777,F5E4084611EA02ABD8ED20F39DA80F63,239987378,15,1,1,1,87480,31205265
1778,00314D6AEDD24F5B4059648AD41E93E4,239979181,15,1,0,1,87480,31205265
1779,8C2ED508EDC457288485E47597F95F4C,225174594,10,1,1,1,9207990,31354848
1780,935C7E70A28C0C1313B420E7399749D7,282026768,12,1,3,1,11899132,31251933
1781,FB0C6C0F910431624099AF5262EC2BD8,282024944,13,1,3,1,11899132,31251933
1782,AA257A44E2CE0AA07037CE87887F0F98,189817935,14,2,3,1,12320682,31202983
1783,B512EE2477A8412CF33ACF055D2A6419,306221046,9,1,0,1,8824144,31292451
1785,80FD3CFAF4C8A5163A9369591AFDCFE9,308123525,1,2,0,1,12428022,31295621
1786,2BF89B23BDEE65466C898A419CB84082,246119691,3,1,3,1,12346165,31348449
1787,562F3F0F36AB20631284D737917A4757,236500915,3,2,0,1,9405186,31288110
1788,84F7E69105DB7F763625F382EA093CF0,115792717,12,2,1,1,12116493,31328294
1789,378B3811B3736C3C25750C92765DEE09,165944938,11,2,1,1,12147379,31316245
1790,6E3DC61609E4F7A589F7492A5AA6AAD5,223694042,15,1,1,1,12121158,31328294
1791,58AA9DDAD8D024B114A59C88B0BB3F24,222679239,12,1,1,1,12145904,31316245
1792,32A91CB70D0865902296FBC5AEEA0DE3,23866809,11,2,1,1,12116153,31328294
1795,4F08B56F2E60F831BEB865C537D57F50,114685868,7,2,0,1,12060719,31203092
1796,CEB48594B07F5BCAAD3DE3C960F94404,222148825,9,2,0,1,12089658,31203092
1797,3ED4470C1735E09621B8F7E1F2055A17,284779917,1,1,1,1,12139377,31288128
1798,C6EFAE7900396AE0E96435675CD9943B,225146872,8,1,1,1,9211096,31354848
1799,41A83D4F9E1671B265790D062FA036B0,311078989,7,2,1,1,9208742,31354848
1801,0605C73FB9923F33B782C841E562E707,299251036,1,2,0,1,13020187,31288144
1802,BC008E4451BB2E006D66A214D9C42C19,236534477,14,1,1,1,12339002,31202983
1803,88F1778382AE98AE87D5F24C928E0FF1,223219078,11,1,0,1,12095015,31203092
1805,506B411ED322489F812D10205C48B5F1,223278287,12,1,3,1,12093780,31203092
1806,2E39BF05D5C7541511357910C1710BA1,285078879,33,2,0,1,12359609,31326160
1807,AC3AAD434DE5358CD9268DCF96D12271,320616423,14,2,1,1,6685470,31354848
1808,836BFD8A208134A38EA2E870794022A9,320839504,16,1,1,1,6689202,31354848
1810,F3D84D39B62981C465431777C7E3F4C6,300660837,0,2,0,1,9399007,31288110
1812,5A5CD581496D91A609CDE8CCD5A40362,29687579,10,1,1,1,893286,31205249
1813,0C908C839FD84F1FF794EB2D61476991,224321499,15,2,1,1,893278,31205249
1815,C438534B987565FB52975EB0CC173549,66136516,16,1,1,1,6242025,31205231
1817,AEBB450F2857719377E3C2AFF3F37145,165644754,5,1,1,1,1741028,31205231
1818,F61F52A49ECD47DC21B98B9556893F95,326136550,5,1,3,1,14219514,31203092
1819,3A7FF739EFD89405323CF4BAFFCB6183,323397827,3,2,0,1,13068770,31352055
1821,1BB6C6CF4CEC0D729DFFB8841050DB3C,248363642,17,2,0,1,3384015,31205265
1822,C78BB223708C6BC263A577E17D5CC0F3,300200570,16,1,3,1,13062935,31202983
1823,D2B384D47A52DFBAC33BF0FE114FD92C,286164656,11,1,0,1,12097579,31203092
1824,24265A4E3CC1B7617F3947D6DC2FFA03,85991188,9,1,1,1,1739799,31205231
1825,D470C9BC653D2FF673E6A601B830A598,166234012,10,1,1,1,1741034,31205231
1826,5EFA171CDE03A99D3CAC22457925736A,285475603,5,1,1,1,1741027,31205231
1827,BD3388506A49B84F6F9977DC8618EA99,288836704,8,1,1,1,12541788,31310573
1828,3FB093F689BC707A2B6FC3A4A8241759,326100945,5,2,0,1,14218462,31203092
1829,53414901236A6F4ECE575A06B726472B,229141787,2,1,1,1,9254522,31242471
1830,C9A63A9BBB639DB4586551922D050EE1,294993349,7,1,3,1,12851165,31202894
1832,CB0741AA8F49F53A68797038DC6DF50D,287099267,1,1,1,1,12501887,31360333
1833,6B7B34CC8E753084DDAB9D5758B6C956,287546412,17,1,0,1,12280545,31328294
1834,0866C892EC7323CDA7BB0A944F37F93B,66099529,17,1,1,1,1741044,31205231
1835,3A2BBBD7EB8791A9A548F9D4F57A8979,166265392,12,1,1,1,1741038,31205231
1836,510DD72C34627F6854FEC792E4F2CA9E,66768971,9,2,1,1,12405566,31217751
1837,7E5EE218FDFAC48C96128B222BF6FAD6,288326757,14,2,3,1,12098178,31203092
1838,EC472C127FCDE36C730B4FB254FB42A7,326683791,12,1,2,1,14245049,31245674
1839,B96E5A38FFE713B38589F80A7C3360CA,294993849,16,2,1,1,12851361,31202975
1840,888723518DD1DB7E56DE13B91F7807D8,294993865,16,1,3,1,12851362,31202975
1841,603F2C883E53206B43912F9C12F849AA,295004229,20,2,0,1,12850458,31203009
1842,A4F90346D323429234EAF65530FB5EAC,295004303,18,1,1,1,12850441,31203009
1843,3466B55E0482875E34B23D048658A4E7,295004310,17,2,1,1,12850450,31203009
1844,9163136AC6A6A91FA8624178FF04921D,295004362,19,2,1,1,12850456,31203009
1845,532716E1DED3A2A46221059D18162891,295004398,16,2,3,1,12850447,31203009
1846,BFF2D25158DE8FB1CB9F369CF8DC7464,295004460,17,2,0,1,12850456,31203009
1847,454B35AC1C1DC970871D732FB6A1C356,295004566,15,2,1,1,12850452,31203009
1848,108CC1F464A471D380793B599A258EA2,295004612,15,2,1,1,12850453,31203009
1850,CF8F5858C9F04FE750ECB25EBA559038,287559589,2,1,3,1,12139472,31288128
1851,7E81A4896344B0BADF88171E22CFCA90,287692122,37,1,0,1,12518254,31202983
1852,359F54E6EE7F98984172EF12CCD5AF17,287497566,18,1,1,1,12279881,31328294
1853,CBE8B48C4304853FC92A76ED08C7DFCD,288156210,4,1,1,1,12537968,31261009
1854,D8F8E826ED5E3D5650F9E707B968291B,230375969,13,2,3,1,12098127,31203092
1855,823A49FFC20D686FF5E5B749335F530F,223778020,4,1,1,1,11957296,31326054
1856,76BC3D0C32A1505FF45E6E7F3E1A9FF1,1531182,12,1,2,1,143985,31203122
1857,3C6EA27C8BB4FE01BBC9CA700D913E14,220939548,3,1,1,1,5976267,31205265
1858,77C983DD14500152EAE7AD2686AB47B1,295155304,6,1,1,1,12857787,31202908
1859,5A3D9467A70BEE0222A0B66DBE5B88D7,295127047,11,2,3,1,12858023,31217743
1860,2460E37806780B14CAD9D54F71C8DE25,295127113,15,2,1,2,12858031,31217743
1861,E9BCBEC3FEB7E2DCCD5825FC931BA7CF,295326200,9,1,1,1,12242267,31261009
1862,95E1313E6B0CBDAEB72D7257D1ECBD5F,295155213,8,1,0,1,12857789,31202908
1863,929B7A5212BDD40D316F5100C96611DC,295127578,15,1,3,1,12858046,31217743
1864,8F8F40BF8073F525C24A6885A71BC8B1,295006954,8,2,0,1,12851446,31203106
1865,8C04088ED4F9A69E88D4388EB6373BA0,295005327,11,2,0,1,12850436,31203009
1866,FFFAFDACB351563C7ADF7CFD429DDA77,295004727,16,2,0,1,12851472,31203106
1867,D357329A4F532D38B03C385D9DA8627B,295007165,16,2,1,1,12851471,31203106
1868,0D02D5FCD34A08CCCB981DC5D203879A,295127996,8,1,1,1,12858021,31217743
1869,0150A87699981E75F52BAEDFA950DDA1,295128201,13,1,3,1,12858030,31217743
1870,0352A0ABD239A73EEFE09519234A6D19,294993167,13,1,3,1,12851169,31202894
1871,05D30BA189555699BD6D00FA9AD528F2,295006390,12,1,3,1,12851453,31203106
1872,728F9517F77C574FF6F4A576447AAA3F,295006393,12,1,3,1,12851458,31203106
1873,FA43B6E3EDDFF15526AF235ABAD5AA6E,295127285,16,1,1,1,12858040,31217743
1874,0CCACB4462F93CDEF019C2D5FA6E8DB4,294994386,17,1,3,1,12851162,31202894
1875,6F0E57AE4AB883EC59E932F423C453CD,295002701,18,2,1,1,12850441,31203009
1876,1697A66BB9AC211E93209DE0A50A63CC,295006642,15,1,3,1,12851468,31203106
1877,47560CC1F57BC15771227C9B663F02BF,295006656,17,1,3,1,12851479,31203106
1878,7ED28EA2FBD5BD9DB7AFECCC2E195814,295006734,16,1,2,1,12851485,31203106
1879,F8D086BFB31F88B0F65E8B7555FAA3DC,295127556,13,1,1,1,12858030,31217743
1880,68B359ECB7C6338FFFC0138DE5E5EA4B,230611945,17,1,1,1,12098337,31203092
1881,48121579507BCAE6D26B10912784DC90,225155741,4,1,3,1,12295643,31261009
1882,BF1CAD78A751431CF67F47B224CD7024,228096324,15,1,2,1,12100135,31203092
1883,7E35BD0AB481F736E95DBF35F9B693E4,245113624,2,2,0,1,12342424,31362476
1884,008D898E4E2D86FF77F923FEA7BBCB66,290960616,6,2,1,1,12542203,31310573
1885,7090EB771155672B09DCA0BC63F55235,289954280,3,2,0,1,12060875,31328294
1886,3B3A7FBA664EB59CB98BDC573D19D7D2,163942224,8,2,1,1,8841607,31203017
1890,DFE65AEB5F5390098A18F9AB8FBFC6EA,277753890,4,1,0,1,11879899,31251933
1891,37B6F02F96D1B86A730CFFA3078E4248,290352084,3,1,0,1,12061161,31328294
1892,4B5535F872DDB4C789B52D507A7D13B6,278291298,2,2,1,1,11994194,31347922
1893,A337D746F40E9157E81C602965075B0F,1907220,15,1,1,1,143993,31203122
1894,BBF550257B8A7AAD909AE6F0CF471C44,278064874,2,2,0,1,11994029,31347922
1895,EE8DF2D3CD94F873F69F2A7CA8B0A5BC,301664185,15,1,1,1,143995,31203122
1896,7352FE67B01BD85F25F4B9D96DA1074C,277820201,4,1,0,1,11879899,31251933
1898,70E60A2A4B31339109E16C554D592EBB,278384697,11,2,1,1,143986,31203122
1899,2256AEE43BEFF208332FAD524C61CA4B,290576884,4,2,0,1,12060910,31328294
1900,527CA8F4719AE05FBE226F4D9E09283C,225313197,4,2,3,1,12079194,31202983
1901,D3F433FA3C9065EF7D3E134567C41766,225236701,5,2,0,1,12078583,31202983
1903,33661868D37FACAA325F46394F713C4F,168194231,8,1,2,1,3060684,31203076
1904,39EC5DF4D1ED772975EE7A9F3AF9CAFE,290245690,10,2,1,1,12405556,31217751
1905,37116129CCC17B064FE17487022E7AE9,227930342,14,2,3,1,12100135,31203092
1906,81F8F68892B76A2625BAF9C730A37BC2,230505611,15,2,2,1,12098127,31203092
1907,C4610554AD62525AF5728D62EC542A5A,288326337,14,1,3,1,12098127,31203092
1908,EFEC65ABAF3F37887C536A729818D378,288447980,11,1,1,1,12542665,31310573
1910,AB0F22A8897E1F9150B10D59D0AE8778,228623283,11,2,2,2,12012587,31202878
1911,529BFC0F8A9567E1F596C8DA63CFCD12,225582804,6,2,0,1,12101359,31202983
1912,20F020D5480E8E28F4FDDB59094C5A95,302919570,3,2,0,1,12345252,31348449
1913,EDC9656CDCA97AD1F2DBF062E8321F05,302788878,2,2,0,1,12345145,31348449
1916,95AEABEB077D2D82F5B78B66BD4816ED,290347657,2,2,0,1,12061161,31328294
1917,5A5128D014423CD99A8A3BE090EC6FEF,290644963,6,2,1,1,12542230,31310573
1918,463A75EDC3320FCD64EB95B40E8B2601,289524938,2,2,0,1,12061088,31328294
1920,2522B392A3218146FBEB326A8F47CF52,278987132,5,2,2,1,11993200,31244279
1921,E0411E04185D59FD807B5655973DA928,279013568,9,1,1,1,11957817,31210609
1922,A53B80B6835152F513C235D3BB616915,227386920,8,1,3,1,12129114,31202983
1923,F35CE6C8BA1E767EA3E9B48A00A018F5,280435606,17,2,1,1,12151412,31346314
1924,5026E5914A1169430E4B95B4FF73174A,303461103,17,2,0,1,13212023,31202967
1925,4112E67B76FF9876DC23C94DDD7FDB83,303462393,16,1,0,1,13212021,31202967
1926,6802BB8DA6D303335126BE9574A2DFB5,303462436,17,1,0,1,13212022,31202967
1927,FB200A590251BFC6D48BA1BA5840E17D,303462461,20,2,2,1,13212025,31202967
1928,35279231E907F17E3C8AA0014B94655C,291558617,9,2,1,1,12012443,31202878
1929,8E95CDDC3B96E72B195566A5E5B59376,291242398,8,2,3,1,12012323,31202878
1930,D75FBB4EBF1010A2D250E95A12026182,291207080,5,1,1,1,12541154,31310573
1931,D79307F319F45C39D6CDA819AE505137,230893950,7,2,1,1,12710143,31205265
1932,CAC8D4D5014C3D1B0B485176E0D48D37,291258593,11,2,1,1,12012384,31202878
1933,4977B3C33441AACB498224BFA25F5C75,103579944,9,1,1,1,12186654,31202983
1934,195E1CB3F2E09FFBE047F4B73D68923E,104128003,10,2,1,1,12186397,31202983
1935,985AA294C52C715A4618EFB6195BDC00,104463537,11,1,1,1,12220053,31202983
1936,7EFC60523ADB82FE2B4FE6A142A048ED,280881962,12,1,1,2,9065523,31244279
1937,853F98EC8A1B4C2D2B66457FB67FEA3A,280939638,10,2,0,1,9062934,31244279
1938,7EBA83B15B66B5F9B60051DF826587E8,223473692,5,1,1,1,12133060,31316245
1939,82F613AF8734D409E8D63F4FD6F46758,303458998,12,1,2,1,13212015,31202967
1941,CE68B4CAC3E711A4A98886FA13B6B153,236308774,12,1,1,1,5962985,31205265
1942,E2188BF668F76ADBAAD202201A85A4FD,234763788,11,1,3,1,5960623,31205265
1943,279F71088ABB7182D8FBE210212CFB28,234431264,10,1,1,1,87494,31205265
1944,F5EDED6E8ECE9BE7916CD422D166F126,235001596,11,1,0,1,87491,31205265
1945,8D09C4D1B802D0DE640B48024C7F7B42,292596764,19,2,0,1,12735345,31202983
1946,1A713274D6CD260D01180B8145B22BC8,225897931,15,2,0,1,6689932,31354848
1947,1285117A7088CDAFD41ABF91CF443E77,281103951,6,2,2,1,12133420,31316245
1948,A77C10D3E57F1D666C039A1530DD8CB0,233390136,14,2,0,1,12011382,31202878
1949,AAEA8355D2E96E6B33E8916C0ECAB8E3,103744348,9,2,3,1,12220053,31202983
1950,C3E543856F3DDB29296733E7561136EF,282034349,12,1,3,1,11899132,31251933
1951,A68CC109A9BB8C3213207E1C307FA83B,167564674,4,1,1,1,12061174,31328294
1952,400403FBEB34CC66CE2B8D5BB2C0824C,303458661,17,1,0,1,13212560,31202967
1953,3961193C56151769A6EF0921BFF90B0F,303458825,16,2,0,1,13212019,31202967
1954,BEB693C3E8466CB117B20365A1185B02,303462601,15,2,0,1,13212020,31202967
1955,9A06C944939AA3269C1EBF5B7EB82DC4,281781745,14,1,3,1,9068548,31244279
1956,C623EB27882B62E1C7917F025C5FCC7F,307373255,9,2,1,1,13190867,31292451
1957,C6B48E2442B116CC512236B13559AF9A,303458528,17,1,3,1,13212560,31202967
1958,86ADCBB696CA0C7F2007A16847B07B12,303458532,16,1,3,1,13212019,31202967
1959,091E79F942441DCD283FD988FC73D6AA,303458721,13,2,0,1,13212561,31202967
1960,35503145F3A2E7BF4B8F1D14F127C279,30848633,11,2,3,1,12147379,31316245
1961,B550F408E9F8C2F16BF999DFA6D844E6,227578265,11,2,2,1,1932310,31203068
1962,8054F053DB7BD868D0DF576BE0A2072B,114987006,9,1,3,1,12115505,31328294
1968,C83D47918CE9D275BDF03B331A2ACDD0,307955615,3,1,0,1,12428099,31295621
1969,DBD2D84FD3B2C7405A00FF687FC80051,307749976,10,2,0,1,13192261,31292451
1970,8E79C6B54D19064AD9188E996F05EA89,310716544,3,1,2,1,12342476,31362476
1972,ED8324233455CDFF2C194400DC18D7D7,283115854,7,1,0,1,11990311,31266965
1973,6744C487A937BEF3AA89A729E4076D8F,283173824,7,1,1,2,11990311,31266965
1974,C60FF74C1F80CCB5C3EE05C8B7A7A84D,222920086,10,2,1,1,12093780,31203092
1975,63F29DD4627C7B8A261217FB1844B605,224926454,6,2,1,1,9208742,31354848
1976,81F70E681D381BE15AF234436D925F7E,323415663,3,2,3,1,13068795,31352055
1977,F5B38C26E2696CA24A4D2DBDF292425A,320521452,16,2,1,1,8824537,31292451
1978,477E1543ADCD0E4255B98F99EDEE7EF0,320476560,16,1,1,1,8824537,31292451
1979,7A2F236784E6BCBC53B2E571AFB191A6,321463946,3,2,2,1,9210274,31354848
1980,6331FB894DF83823F621CE2E44DE4023,294951567,29,2,0,1,12223120,31364355
1981,0B8E9010E3D267D741D6858E7F86E1AC,66087286,14,1,3,1,1740462,31205231
1983,AAC4AE02EF51424297A608053C34A56B,66122977,12,1,1,1,1741037,31205231
1984,0D8AF93B97A4C436762E83248691FC71,166329188,16,2,0,1,1741043,31205231
1985,1A08DB5845878243011CF4359E9D451F,165644029,5,1,1,1,1741028,31205231
1986,DC5A597FB45A58BB07B8AE8770D5FCEF,307902512,2,2,0,1,12427891,31295621
